Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,bf,tw,tf,bf/2tf,h/tw,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1
W,W24X335,W24X335,T,335,98.3,27.5,13.5,1.38,2.48,2.73,15.6,2.98,11900,1020,864,11,1030,238,152,3.23,152,161000,84.4,707
W,W24X306,W24X306,T,306,89.7,27.1,13.4,1.26,2.28,2.94,17.1,2.78,10700,922,789,10.9,919,214,137,3.2,117,142000,83.1,635
W,W24X279,W24X279,T,279,81.9,26.7,13.3,1.16,2.09,3.18,18.6,2.59,9600,835,718,10.8,823,193,124,3.17,90.5,125000,81.8,569
W,W24X250,W24X250,F,250,73.5,26.3,13.2,1.04,1.89,3.49,20.7,2.39,8490,744,644,10.7,724,171,110,3.14,66.6,108000,80.6,502
W,W24X229,W24X229,F,229,67.2,26,13.1,0.96,1.73,3.79,22.5,2.23,7650,675,588,10.7,651,154,99.4,3.11,51.3,96100,79.5,450
W,W24X207,W24X207,F,207,60.7,25.7,13,0.87,1.57,4.14,24.8,2.07,6820,606,531,10.6,578,137,88.8,3.08,38.3,84100,78.4,400
W,W24X192,W24X192,F,192,56.5,25.5,13,0.81,1.46,4.43,26.6,1.96,6260,559,491,10.5,530,126,81.8,3.07,30.8,76300,78.1,371
W,W24X176,W24X176,F,176,51.7,25.2,12.9,0.75,1.34,4.81,28.7,1.84,5680,511,450,10.5,479,115,74.3,3.04,23.9,68400,76.9,333
W,W24X162,W24X162,F,162,47.8,25,13,0.705,1.22,5.31,30.6,1.72,5170,468,414,10.4,443,105,68.4,3.05,18.5,62600,77.3,306
W,W24X146,W24X146,F,146,43,24.7,12.9,0.65,1.09,5.92,33.2,1.59,4580,418,371,10.3,391,93.2,60.5,3.01,13.4,54600,76.1,268
W,W24X131,W24X131,F,131,38.6,24.5,12.9,0.605,0.96,6.7,35.6,1.46,4020,370,329,10.2,340,81.5,53,2.97,9.5,47100,75.9,235
W,W24X117,W24X117,F,117,34.4,24.3,12.8,0.55,0.85,7.53,39.2,1.35,3540,327,291,10.1,297,71.4,46.5,2.94,6.72,40800,75,204
W,W24X104,W24X104,F,104,30.7,24.1,12.8,0.5,0.75,8.5,43.1,1.25,3100,289,258,10.1,259,62.4,40.7,2.91,4.72,35200,74.7,179
W,W24X103,W24X103,F,103,30.3,24.5,9,0.55,0.98,4.59,39.2,1.48,3000,280,245,10,119,41.5,26.5,1.99,7.07,16600,52.9,117
W,W24X94,W24X94,F,94,27.7,24.3,9.07,0.515,0.875,5.18,41.9,1.38,2700,254,222,9.87,109,37.5,24,1.98,5.26,15000,53.1,105
